,Feature Importances
1784,0.001363718247894754
2350,0.0013614951305881966
69,0.0013594635009781114
1729,0.0013569502366706026
1643,0.0013496874037626841
2200,0.0013493962322012093
1505,0.0013490709379962627
2526,0.0013482851091025888
428,0.0013445148785082408
2554,0.0013409925580823163
2557,0.0013406302821033548
1652,0.0013253807661054973
83,0.001323071296018355
189,0.0013198381523725734
2572,0.0013156854018874706
2213,0.0013155756482654932
1077,0.0013089204351246556
719,0.0013074838423433746
569,0.0013055317478389964
2135,0.0013006861070636569
2643,0.0012934120854304918
1498,0.0012930702476791356
2158,0.0012861475276181671
727,0.0012852702783619576
398,0.001281074395544309
175,0.0012806054882505064
2019,0.0012798069299774872
1241,0.0012760813305555485
2201,0.001276038259014695
447,0.001275773044790927
2529,0.0012737395921653028
2367,0.0012735370376654263
2202,0.0012712350270591896
755,0.0012610553383512004
2261,0.0012593365005283124
2157,0.0012586574216213455
1514,0.0012548485108424998
1493,0.0012512164577535914
1108,0.001249322864285602
318,0.001248988604872741
1026,0.0012424942581763946
2203,0.0012403622099935929
1253,0.0012389309400256182
397,0.0012387729286155286
1853,0.0012344355826109474
2537,0.0012339915112279298
686,0.0012317374849979852
439,0.0012258863399815284
504,0.0012229404144387804
1412,0.0012192439429922087
666,0.0012143393065475062
517,0.0012126094041803356
1701,0.001212512525986263
923,0.001205736293875037
2634,0.0012045669590311045
1256,0.001203103153020159
1599,0.0012030853565318435
1286,0.0012000867765694914
297,0.001199969762063962
742,0.0011991528025377598
894,0.0011926197660820567
1840,0.0011863075173342693
1884,0.0011862478912534017
2599,0.001182222618552482
2077,0.0011788741316713532
2299,0.001178811270590849
2520,0.001174978049108845
744,0.001174892250032939
2335,0.0011736267556836592
2481,0.0011730209250243831
278,0.0011726860906313547
1102,0.001170883194456649
1430,0.0011674653308918692
2376,0.0011659397252446536
2230,0.0011621865504787743
1299,0.001161917021263414
2197,0.0011616736423174026
619,0.0011611037023652503
2374,0.0011596329076182512
2386,0.0011574775771773622
1231,0.0011570225468108064
290,0.0011558349056795504
2038,0.0011528246151474254
834,0.0011473392100466255
590,0.001144083659782882
617,0.001141046585932747
762,0.0011394507987243375
1473,0.0011385284856614572
1344,0.0011347303017552324
205,0.0011290245852737097
1250,0.001128188437071743
2333,0.0011267735498395577
2030,0.0011262514709661996
539,0.0011167052416805204
1695,0.0011119796221118867
431,0.0011080036527994646
2100,0.0011073543211506192
1023,0.0011064504886495125
2626,0.0011027678480579704
462,0.001101584794171087
163,0.0010996290378839915
1494,0.0010975460428776166
2597,0.0010939962307131561
104,0.0010735071255099909
291,0.0010702511866316953
1773,0.0010664166416691305
380,0.0010636114799737516
1293,0.0010628577814604434
2518,0.0010627854462495233
1832,0.0010584352408614056
2206,0.0010506822363319187
445,0.001050029394640366
2073,0.0010429034571627972
1060,0.0010418429735649477
293,0.0010339346245209933
2565,0.0010335347435038221
1240,0.001031807397058622
2503,0.0010317784782869182
653,0.0010301816142423465
1130,0.0010288177569631328
761,0.0010176371555848155
2452,0.0010152661947384848
598,0.0010151218995663506
1735,0.001014937328184446
2530,0.0010117696533303551
980,0.0010110383702726388
2514,0.0010105093027446854
2371,0.0010098552275659518
182,0.001006426754180512
184,0.0010061418703334827
1070,0.0010004768312033099
385,0.0009989526226244416
208,0.0009970302280532326
2245,0.0009938697339788125
71,0.0009934886920378973
277,0.000991585582123607
818,0.0009866359631641015
489,0.000980166002531652
1626,0.0009793989831576601
1719,0.0009759760625142388
764,0.0009753652902851525
199,0.0009747332977115615
1698,0.0009667359667050088
