Number of Features,Mean Accuracy,Standard Deviation
100,0.8875,0.022963966338592292
110,0.896875,0.032173844190584375
120,0.88125,0.021194781197266466
130,0.921875,0.013975424859373685
140,0.890625,0.01711632992203644
