Number of Features,Mean Accuracy,Standard Deviation
100,0.8875,0.07153451963912248
110,0.8875,0.04571480886977435
120,0.884375,0.05191639914323797
130,0.878125,0.03617449032121946
140,0.903125,0.0517279542413964
