Num Features,Mean Accuracy,Standard Deviation
100,0.3071428571428571,0.11649647450214351
110,0.3,0.10251928638862373
120,0.2857142857142857,0.09313146293146643
130,0.27142857142857146,0.1
140,0.2928571428571428,0.03499271061118826
150,0.3142857142857142,0.03499271061118827
160,0.2785714285714286,0.026726124191242446
