Number of Features,Mean Accuracy,Standard Deviation
100,0.676484510964149,0.031485086952046916
200,0.6705673512008354,0.01866699444202078
300,0.6764497041420119,0.027429662768298137
400,0.6847267664462235,0.023771815003054714
500,0.6870657848938392,0.03808062069469037
600,0.6800278454577098,0.01756065958703516
700,0.6552384267316395,0.029037318867909574
