Num Features,k Value,Mean Accuracy
100,3,0.60093837535014
100,4,0.6055602240896357
100,5,0.5938515406162466
100,6,0.6162044817927169
100,7,0.60796918767507
100,8,0.6173949579831932
100,9,0.6056022408963584
100,10,0.6079831932773109
100,11,0.6150980392156863
100,12,0.6079691876750699
100,13,0.6197478991596638
100,14,0.6102801120448179
100,15,0.6161764705882353
100,16,0.6233053221288516
100,17,0.6233473389355743
100,18,0.6279971988795519
100,19,0.6362745098039216
100,20,0.6374229691876752
200,3,0.6327871148459383
200,4,0.6079971988795517
200,5,0.616218487394958
200,6,0.6185854341736695
200,7,0.6292577030812325
200,8,0.6422689075630252
200,9,0.6363165266106442
200,10,0.6327591036414565
200,11,0.6386974789915967
200,12,0.6422408963585434
200,13,0.6446638655462185
200,14,0.6352240896358543
200,15,0.6386834733893557
200,16,0.6387394957983193
200,17,0.6328291316526611
200,18,0.6446778711484594
200,19,0.6364145658263306
200,20,0.6364565826330533
300,3,0.5986274509803922
300,4,0.6056162464985995
300,5,0.6092436974789917
300,6,0.6174929971988796
300,7,0.6387394957983193
300,8,0.638781512605042
300,9,0.6541036414565826
300,10,0.6446078431372549
300,11,0.6481512605042018
300,12,0.6364425770308124
300,13,0.6375910364145659
300,14,0.6328851540616247
300,15,0.6435294117647059
300,16,0.647044817927171
300,17,0.6399859943977592
300,18,0.6518067226890756
300,19,0.6506022408963587
300,20,0.6435014005602241
400,3,0.5962324929971987
400,4,0.6021288515406162
400,5,0.5986274509803922
400,6,0.6080392156862745
400,7,0.6281792717086836
400,8,0.6221988795518207
400,9,0.6352240896358544
400,10,0.6281652661064426
400,11,0.6364705882352941
400,12,0.6246498599439776
400,13,0.6270308123249301
400,14,0.6364705882352941
400,15,0.6411764705882353
400,16,0.6376190476190475
400,17,0.6411344537815127
400,18,0.64
400,19,0.6446638655462185
400,20,0.6424089635854342
500,3,0.5856862745098038
500,4,0.6033893557422969
500,5,0.5999159663865546
500,6,0.5999159663865545
500,7,0.6151540616246498
500,8,0.6139915966386555
500,9,0.6115826330532212
500,10,0.62109243697479
500,11,0.6092717086834734
500,12,0.6187535014005603
500,13,0.6364845938375351
500,14,0.632983193277311
500,15,0.6376610644257703
500,16,0.6483333333333334
500,17,0.634187675070028
500,18,0.6518767507002802
500,19,0.6529971988795519
500,20,0.6423949579831933
600,3,0.5738515406162465
600,4,0.5856302521008403
600,5,0.5879971988795518
600,6,0.5962464985994398
600,7,0.5915546218487396
600,8,0.6104621848739498
600,9,0.6057703081232495
600,10,0.6139915966386555
600,11,0.6199019607843138
600,12,0.6246638655462186
600,13,0.6400000000000001
600,14,0.6424089635854342
600,15,0.6447478991596639
600,16,0.6518767507002802
600,17,0.643529411764706
600,18,0.6328711484593837
600,19,0.6316246498599438
600,20,0.6351960784313727
700,3,0.5903501400560224
700,4,0.5903081232492997
700,5,0.5880812324929974
700,6,0.5927310924369747
700,7,0.6069187675070029
700,8,0.6092997198879553
700,9,0.6057282913165267
700,10,0.6046638655462185
700,11,0.617577030812325
700,12,0.6246918767507004
700,13,0.6377030812324931
700,14,0.6376890756302522
700,15,0.6211204481792718
700,16,0.6187815126050421
700,17,0.6351960784313726
700,18,0.62812324929972
700,19,0.6281092436974791
700,20,0.6222549019607844
