Number of Features,Mean Accuracy,Std Deviation
100,0.7343264879916462,0.022411111359620487
200,0.7355586494953011,0.026002495591538468
300,0.7343821789070658,0.011798750831456359
400,0.7320222763661677,0.013735144247446393
500,0.7225757048381483,0.014421363228391852
600,0.7284859032370344,0.01569820246736563
700,0.7237452140619561,0.008980413738907256
