,MI Scores
1285,0.518441135229005
56,0.5184231985696099
1681,0.5169967429167746
2534,0.5163949449850169
275,0.5149594398718611
2371,0.5144902951097623
1892,0.5121864553097195
284,0.5112216191595249
2143,0.5098184993842882
2228,0.5096577631712778
1707,0.5094264924543537
517,0.5081138266006968
201,0.5062328574880932
433,0.5055794093470303
2203,0.5050108730736147
2528,0.5048042708236478
927,0.502898174500106
2014,0.5025159092749723
2241,0.5017872443023288
1275,0.4990675835752425
727,0.4987942817979336
681,0.4977552220253505
380,0.49599182534578246
1672,0.4917501932453683
10,0.4910141484214754
225,0.49002345544274184
2582,0.48996982804641354
1680,0.48981197924463005
2339,0.48975008297970346
1493,0.48932488157473797
203,0.48750677735862724
2075,0.4860095573016687
1694,0.48528145464554506
2446,0.4844131586036253
1505,0.48403038648993624
600,0.4839725157321064
291,0.4835751870864071
921,0.4835160731905541
373,0.4824016923140262
2342,0.4818839192659732
2245,0.4814671369461663
1976,0.481292953570009
66,0.4796162776161703
2299,0.47923165972152093
72,0.47898650144250876
764,0.47892509813078865
2223,0.4759634976573641
2540,0.4752372758703918
2583,0.47514707010657653
2411,0.47282294350959075
979,0.472112222103795
175,0.47070086434318825
2038,0.46623705033856355
1760,0.4657556510168823
982,0.4638192053593433
2067,0.4636948880712668
718,0.46310894850306417
955,0.46287775377664375
1967,0.46283005574883607
1593,0.4623962578043259
2388,0.46123463290532585
1541,0.4578130248310812
734,0.45679615740495105
83,0.45460812900046843
975,0.45434914459721254
622,0.45387824412217537
733,0.4520396469778438
843,0.45192221926164655
726,0.45000726906525146
2162,0.4451553715893275
1245,0.44111222633387803
1024,0.4400223857763961
2091,0.4353799406264556
2072,0.4328269329029246
178,0.43054170368631306
2514,0.4289410697332945
1291,0.4278752069718932
1611,0.42697573104690445
2261,0.4260280294310652
1599,0.4256911201923954
354,0.4249333725778248
633,0.42396160946617156
445,0.4239301598852412
1947,0.42261221528654636
1293,0.4204763374682008
757,0.41659845950443897
2518,0.41639008680234246
1719,0.41595385829445264
2648,0.41537687776990806
2337,0.41460714106936103
719,0.41375299635804597
539,0.41352851095340215
894,0.4134987721584318
1302,0.4110052198049021
1774,0.4097136844422897
848,0.4087599159520059
518,0.4048186567377945
35,0.4025827981267829
2355,0.39961721412923246
1509,0.39791097360892147
1250,0.3965947831760437
2500,0.39631008640505505
590,0.39455649069942833
2199,0.3920444731158226
444,0.39156544360170265
1778,0.3911668979934091
972,0.39065786070036923
1094,0.3904906100507337
2227,0.3884156252444326
2341,0.3855613984399011
2279,0.3852982920613277
2597,0.38427995487323274
1010,0.38413108492046977
377,0.38179189836584215
1249,0.3815531008368582
1871,0.37675600763630634
1586,0.3761254204608966
254,0.37394253879888906
1077,0.3733675366275493
227,0.37304134786268883
1059,0.3707846570394795
429,0.36970664350292837
2481,0.36962806635098366
1911,0.36942764987826515
1469,0.3632502202758703
2058,0.3599441385225697
130,0.3592601773577859
2005,0.353976578072809
2159,0.3531081779299581
617,0.3521245601392786
721,0.34983074544078696
1909,0.3494089893381196
135,0.3481755527957451
858,0.34575651607027114
391,0.34459957475973413
645,0.3429183171827779
1,0.3428085015201918
698,0.33921985149771583
804,0.3382705989658339
569,0.3343940320473462
1198,0.3328522869990811
1197,0.3315237617582836
388,0.3314490740974938
658,0.3279388109974386
1473,0.32550618671136444
855,0.32535594925434963
1689,0.3237820551465591
1214,0.31790673625651267
326,0.31734706558360903
2234,0.31690647055105803
834,0.3106076107391509
2453,0.30894672137047685
1498,0.3077360171839336
281,0.30723262755979563
1718,0.30718117043535687
1635,0.3043494900972168
514,0.3026306195461541
2035,0.3002496281820637
723,0.29884905078473256
708,0.2983120666599479
14,0.29675400296309107
1216,0.2960142011047613
2572,0.295255572026194
1963,0.2940061581456308
2387,0.29204142315511916
116,0.2914806603765019
2397,0.2912850038343393
402,0.29118928306351055
278,0.2908138923292878
2220,0.2907997924306609
139,0.29070236798876703
1504,0.2857888811142626
