,MI Scores
1000,0.7366954343696712
2202,0.729862079128472
706,0.7248627906986278
619,0.724716738456936
2410,0.7230119368059695
847,0.7101514427654227
97,0.7079041848551744
1625,0.7053842441509182
1248,0.7040776455693936
2142,0.7028488784971232
1725,0.7027707602966635
2150,0.6953842964633616
67,0.6900919970421879
516,0.6897791455537043
2158,0.6869512823392283
513,0.6856257610386491
1641,0.678644410902352
65,0.6767705402877799
1412,0.6762878986580416
1202,0.6758833889547555
2019,0.674596687624482
1253,0.6704727019262884
1840,0.6682912853145344
2010,0.6651191273209753
2278,0.66429903837387
1025,0.6630856199179034
687,0.6627376034093613
1784,0.6613846340769158
1673,0.6607924992733492
1068,0.6595688197054292
2011,0.659501461074752
177,0.6569389578010407
2506,0.6560361131380359
2007,0.6558701245106344
2413,0.6551131153627794
197,0.6539784651121514
1096,0.6522481920147927
2110,0.6510415955798186
2512,0.6505970385353925
864,0.6499152781264537
2595,0.6489255745930484
199,0.6482479726529218
2201,0.6480166765272211
462,0.6456652342473068
504,0.6455599796529787
2225,0.6442969612590053
1773,0.6429694526579686
2554,0.6428489258093177
1023,0.6427132233164512
1251,0.6417604406143977
2204,0.641346916428349
1910,0.6413452335192047
1104,0.6407756238591296
2200,0.6402706731515933
616,0.6400898350490469
1540,0.6400865739645565
625,0.6393277981426988
1301,0.637711430939589
307,0.6351907764762212
2336,0.6344426345020613
2221,0.6342542748404794
1771,0.6335523704164492
871,0.6325446295804087
1761,0.6320361581765206
1129,0.6312434155427717
191,0.6293958037133778
1087,0.6289474755514357
1859,0.6287553031055102
1005,0.6262227301115362
1408,0.6259217723576609
1839,0.6248042106336411
1018,0.6246869901292924
2557,0.6243520590537672
1670,0.6241978564834627
701,0.6201698178978317
50,0.6201050256459211
1028,0.618449537760078
950,0.6174732338561566
2600,0.6174235321158155
2511,0.6171442702526888
1099,0.6147374445138967
2553,0.614068899639725
2334,0.6129548636259718
956,0.6117020961790636
2338,0.6116213849807077
325,0.6104345795935058
773,0.6095182551305791
531,0.6087826849869038
1100,0.6083789823635504
2576,0.6081640494386009
1841,0.6080950309820243
118,0.606880333853208
540,0.6048851518873326
742,0.6047872085278247
293,0.6041528147908823
464,0.6038335027174737
477,0.6035919369537828
290,0.6032712067878157
1669,0.6032060162919932
2157,0.6023905414970967
1829,0.5992486752652915
598,0.5986132591750581
1130,0.5958975327869551
627,0.5943240092661315
2529,0.5935605253054357
2230,0.5894579227798284
670,0.5889334928797494
2592,0.5884027264449831
1772,0.588096878774859
1693,0.5877751740385604
2240,0.5873185817586213
671,0.5865641909844048
189,0.5863295238331543
762,0.5858620241974128
2440,0.5858095078873988
385,0.5853932609658075
117,0.5839780156458381
467,0.5827481226031455
1643,0.5823154485492243
878,0.5819674216068049
2515,0.5809864054172116
428,0.579802813250945
1572,0.5792652124193471
162,0.5780848031299484
684,0.5777135248354415
1219,0.575165392969881
2417,0.5731718208493808
2537,0.5714241594380014
2109,0.5713739787155381
2412,0.5706407829400364
1084,0.5695313652554252
2536,0.569476075610172
1648,0.5685826132573171
1692,0.5683286272515402
1430,0.5660536158234952
1874,0.5654238153671207
2507,0.5654183275936036
2472,0.5641189212893385
517,0.5618105584682189
164,0.5615194443783005
1729,0.5606348275723947
2575,0.55996618227328
2521,0.5598177308111529
1286,0.5590772989250068
1585,0.5541305098371638
1860,0.5541033978636916
93,0.5537673579569882
396,0.5531806334752529
2599,0.5524217053919733
2270,0.5522782124743666
292,0.5517877958862409
1728,0.5513859623480779
852,0.5497361519548556
2008,0.5496596957631374
1537,0.5480750238639023
1027,0.547299018865608
1315,0.5449291794031188
318,0.5437602724758963
503,0.5435878466696364
973,0.5435695216946157
205,0.5433940371495898
999,0.5430254678548858
136,0.5410562557140444
2501,0.5402821064380239
2419,0.5401448607050665
112,0.5398135690987513
433,0.5396879661251495
277,0.5396251176437947
1892,0.538798915564505
1319,0.5387505517680362
1652,0.5383572159173995
2503,0.5383197973380247
1794,0.5373053841960158
1163,0.5368569865633253
2228,0.5362437909726478
119,0.5357209760171111
683,0.5353759659369475
980,0.5351062335489969
682,0.5347690258883573
1121,0.5345546492477999
2579,0.5345169918679586
2241,0.5341648163739725
2004,0.5312443360374024
275,0.5303654273793339
1149,0.5290496733648096
2587,0.5283965822530503
2534,0.5276326677414152
1231,0.526070355611405
2041,0.5232773028857236
1275,0.5226729836483401
981,0.5218498921315939
1268,0.5207356591791323
1038,0.5207148343265486
1707,0.520316383581366
2040,0.5196983036032927
200,0.5194976755692198
921,0.5178000731066352
2526,0.5167231386994131
389,0.5162039043900157
1626,0.5153848996938182
1701,0.5148395585936174
2371,0.5140473244235564
284,0.512569696987214
2143,0.5120514566039807
1285,0.5115626918602607
56,0.5110473680770033
1097,0.5104965966669357
2528,0.508583953458936
1681,0.5083344355766122
