,MI Scores
2202,0.7276898469066708
2410,0.7220096608956053
619,0.7200876349215826
706,0.7194991389167031
1000,0.7124944480702273
847,0.7111931094320896
1625,0.7110118627376119
97,0.7079041848551744
2150,0.7015358815041919
2142,0.6989383515116816
1248,0.6951408873725247
67,0.6900919970421879
516,0.6897791455537043
2158,0.6869512823392283
513,0.6856257610386491
1725,0.6818382822417184
1641,0.6791689644737806
2010,0.6758993235637538
65,0.674695837506802
1253,0.6742171605926222
2019,0.6703335128947954
1840,0.6657309029885274
2011,0.6653110101190924
2512,0.6643475677771027
2595,0.6628295599136957
1673,0.6627802050076743
687,0.6627088885318442
1025,0.6622201363433944
1784,0.660212759076916
1202,0.6578845852736768
1068,0.6572087613479551
2007,0.6569916094527342
2506,0.6562732718126942
197,0.6553559348910147
177,0.6542112428077009
2278,0.6535535436466942
199,0.652583955521679
2413,0.6522759443101476
1096,0.6522481920147927
2110,0.6494149032362144
1412,0.6491439031457977
1251,0.6473835538938948
1104,0.6467440684983001
2201,0.645707511507458
2225,0.6451340148304339
864,0.644865339872934
1859,0.6448358541418282
462,0.6444349727298215
1773,0.6429694526579686
1910,0.6427716804265988
1023,0.6427132233164512
2204,0.641346916428349
504,0.6413424697323433
871,0.6410007307708852
2200,0.6402706731515933
1301,0.6392739309395892
2554,0.6376852353331275
307,0.6373909027388476
1408,0.6372726557976256
1540,0.6369328266701841
1761,0.6369144513498506
2336,0.6355932026838795
616,0.634495227833346
2221,0.6342542748404794
191,0.6338016591034283
1771,0.6334482037497826
1100,0.6327966352172889
1087,0.6292890365417738
1005,0.6260354840608036
2557,0.6253118804823385
2553,0.6235773844147536
50,0.6234332759644823
1670,0.6229966893907515
1018,0.6228939914612934
531,0.622072595699346
625,0.6202681113154318
1099,0.6194725268127668
1028,0.6177054180274715
1839,0.6175951194374809
950,0.6175063344361322
2600,0.6169676668753818
2334,0.6131356926349256
773,0.6120987475548216
956,0.6117020961790636
2511,0.6092676804754815
325,0.6082331559603102
2576,0.6081640494386009
477,0.6079824989967746
1841,0.6078346143153577
118,0.6067416990170895
1129,0.6061316637981924
540,0.6052176577500741
701,0.6050876583039531
464,0.6038335027174737
1693,0.6011125419991195
742,0.6006127990277639
1669,0.5991435162919934
2529,0.5977246035511667
290,0.5960453226841742
1219,0.5945185031978311
627,0.5943240092661315
1829,0.5937905734280731
2592,0.5935224415661968
2440,0.5923560404849182
684,0.59168376878013
670,0.5912878001648223
598,0.5912691882260637
2338,0.5901914852328949
1772,0.5898229882781698
2536,0.5890699317711023
293,0.5888147328554014
1643,0.5870397121328632
878,0.5868382696525862
2417,0.5861818656375031
2230,0.5860334772895788
1874,0.5842848185072973
117,0.5839893671415644
467,0.5827481226031455
2157,0.5821112241006743
671,0.5819022432074339
762,0.5815312530719017
2240,0.5803779643533657
2515,0.5785688039214849
428,0.5781707121420756
