Num_Features,Mean_Accuracy,Std_Accuracy
50,0.86875,0.032173844190584375
60,0.86875,0.021194781197266463
70,0.903125,0.03336586953759785
80,0.896875,0.02538762001448738
90,0.896875,0.04026280852101602
100,0.890625,0.01711632992203644
110,0.88125,0.012499999999999999
120,0.875,0.024206145913796356
130,0.896875,0.023385358667337132
140,0.896875,0.033657280044590655
150,0.89375,0.01530931089239486
